id,climate,energy,environment,resources,sustainability,dedicated
H-3451-ALL-DEB1,0,0,0,0,0,0
H-31-ESP-DPT-DEB,0,0,0,0,0,0
H3451-SDE-ECAO,0,0,0,0,0,0
H-3451-VEE-ECAO,0,0,0,0,0,0
H3451STE-JOUER-ECAO,0,0,0,0,0,0
H3451-SME-CHOR-ECAO,0,0,0,0,0,0
GMAT32-MMSN-AnaNum,0,0,0,0,0,0
MECA32-VIB,0,0,0,0,0,0
MECA32-TPVIB,0,0,0,0,0,0
MECA32-GASDYN,0,0,0,0,0,0
MECA32-BLAYER,0,0,0,0,0,0
MECA32-RDM,0,0,0,0,0,0
H-32-GSF-MECA,0,0,0,0,0,0
PF-ISP32-TPERSO,0,0,0,0,0,0
PF-ISP41-TCHIM,0,0,0,0,0,0
PF-E41-TP2A1,0,0,0,0,0,0
PF-E41-GSE,0,0,0,0,0,0
PF-E41-FROID,0,0,0,0,0,0
PF-E41-TFT2,0,0,0,0,0,0
PF-E41-GTECH,0,0,0,0,0,0
ASI31-ELEC,0,0,0,0,0,0
ASI31-ALGO,0,0,0,0,0,0
PF-II41-DESIGN,0,0,0,0,0,0
PF-II41-IST,0,0,0,0,0,0
PF-II41-SACH,0,0,0,0,0,0
PF-II41-PLEX,0,0,0,0,0,0
PF-II41-MATH2,0,0,0,0,0,0
PF-II41-INFO2,0,0,0,0,0,0
PF-II41-ANG3,0,0,0,0,0,0
H-42-APS-EP,0,0,0,0,0,0
H-42-GRH-EP,0,0,0,0,0,0
H-42-ANG-TEST-TOEIC,0,0,0,0,0,0
H-342-JAP-DEB-ECAO,0,0,0,0,0,0
H-342-TCI-ECAO,0,0,0,0,0,0
H-342-PHILO&SC-ECAO,0,0,0,0,0,0
H-342-HIST&GÉOP-ECAO,0,0,0,0,0,0
H-342-ITA-DEB-ECAO,0,0,0,0,0,0
H-342-STE-INIT-ECAO,0,0,0,0,0,0
H-342-SIGN-ECAO,0,0,0,0,0,0
H-342-ARAB-DEB-ECAO,0,0,0,0,0,0
H-3451-VEE-ECAO,0,0,0,0,0,0
H-342-SME-CHOR-ECAO,0,0,0,0,0,0
H-342-ANG-CIVI-ECAO,0,0,0,0,0,0
EP51-ED-ENB,0,0,0,0,0,0
GC32-CAO,0,0,0,0,0,0
GC32-BIM,0,0,0,0,0,0
GC32-Therm,0,0,0,0,0,0
GC32-ProjetArchi,0,0,0,0,0,0
GC32-SOLS1,0,0,0,0,0,0
GMAT32-MMSN-AlgoNum,0,0,0,0,0,0
GMAT32-MMSN-EqDif,0,0,0,0,0,0
GMAT32-MSRO-AD,0,0,0,0,0,0
H-32-ANG-MECA,0,0,0,0,0,0
H-32-APS-MECA,0,0,0,0,0,0
MECA32-INNO4.0,0,0,0,0,0,0
H-32-ALL-EP-MECA,0,0,0,0,0,0
H-32-ESP-MECA,0,0,0,0,0,0
H-32-FLE-EP-MECA,0,0,0,0,0,0
H-32-ESP-DPT-DEB,0,0,0,0,0,0
H-342-ALL-DEB1,0,0,0,0,0,0
H-32-COM-MECA,0,0,0,0,0,0
H-342-ALL-DEB2,0,0,0,0,0,0
H-41-APS-MECA,0,0,0,0,0,0
PF-ISP41-THERMO,0,0,0,0,0,0
PF-ISP41-TPGP,0,0,0,0,0,0
PF-ISP41-CINTRANS,0,0,0,0,0,0
PF-ISP41-NUC2,0,0,0,0,0,0
PF-E41-CSTRUCT,0,0,0,0,0,0
PF-E41-BIM,0,0,0,0,0,0
PF-E41-INFO2,0,0,0,0,0,0
PF-E41-GTB,0,0,0,0,0,0
PF-E41-ANG,0,0,0,0,0,0
ASI31-BD1,0,0,0,0,0,0
ASI31-RAN Info,0,0,0,0,0,0
ASI31-ANANUM,0,0,0,0,0,0
PF-II41-ANGL-SL,0,0,0,0,0,0
PF-II41-PTOEIC,0,0,0,0,0,0
PF-II41-MAGT,0,0,0,0,0,0
PF-II41-COM,0,0,0,0,0,0
PF-II41-PRIN,0,0,0,0,0,0
PF-II41-INNOV,0,0,0,0,0,0
PF-II41-VISIT,0,0,0,0,0,0
EP51-ED-TP,0,0,0,0,0,0
EP51-ED-ACOU,0,0,0,0,0,0
EP51-ED-ENBTP,0,0,0,0,0,0
EP51-ED-POL,0,0,0,0,0,0
GC32-HYDRO,0,0,0,0,0,0
H-32-ALL-GCCD,0,0,0,0,0,0
GMAT32-MSRO-Stat,0,0,0,0,0,0
GMAT32-MSRO-Sign,0,0,0,0,0,0
GMAT32-INFO-S&R,0,0,0,0,0,0
GMAT32-INFO-ProgObj,0,0,0,0,0,0
H-32-GSF-GM,0,0,0,0,0,0
H-41-ANG-MECA,0,0,0,0,0,0
H-41-GSF-MECA,0,0,0,0,0,0
H-41-ANG-TEST-TOEIC,0,0,0,0,0,0
H-41-ANG-PREP-TOEIC,0,0,0,0,0,0
MECA41-INSAJOB,0,0,0,0,0,0
H-41-ESP-EP-MECA,0,0,0,0,0,0
H-41-ESP-DPT-DEB,0,0,0,0,0,0
H-41-ALL-EP-MECA,0,0,0,0,0,0
H-451-FLE-MECA,0,0,0,0,0,0
H-3451-ALL-DEB1,0,0,0,0,0,0
H-3451-ALL-DEB2,0,0,0,0,0,0
H3451-SME-ORCH-ECAO,0,0,0,0,0,0
H-3451-VEE-ECAO,0,0,0,0,0,0
MECA41-CMCO,0,0,0,0,1,0
PF-ISP41-AIC1,0,0,0,0,0,0
PF-ISP41-CT,0,0,0,0,0,0
PF-ISP41-GRSC,0,0,0,0,0,0
PF-ISP41-ANG,0,0,0,0,0,0
PF-E41-GRH,0,0,0,0,0,0
PF-E41-INGFI,0,0,0,0,0,0
PF-E41-TOEIC,0,0,0,0,0,0
PF-E41-QUA,0,0,0,0,0,0
PF-E41-ANG-S,0,0,0,0,0,0
PF-E41-VISIT2,0,0,0,0,0,0
PF-E41-INDIV,0,0,0,0,0,0
PF-E41-EXPE,0,0,0,0,0,0
PF-E42-TP2A2,0,0,0,0,0,0
ASI31-TDS,0,0,0,0,0,0
ASI31-RAN Maths,0,0,0,0,0,0
ASI31-Reunion,0,0,0,0,0,0
H-31-ANG-ASI,0,0,0,0,0,0
PF-II41-INDIV,0,0,0,0,0,0
PF-II41-EXPE,0,0,0,0,0,0
