id,climate,energy,environment,resources,sustainability,dedicated
EII08-SEE,0,0,0,0,0,0
EII08-INVR-CR,0,0,0,0,0,0
LV3 - Allemand 2,0,0,0,0,0,0
STP02-PPI,0,0,0,0,0,0
STP02-OI,0,0,0,0,0,0
STP02-SA,0,0,0,0,0,0
STP02-RUS,0,0,0,0,0,0
STP02-POR,0,0,0,0,0,0
STP02-JAP,0,0,0,0,0,0
STP02-ITA,0,0,0,0,0,0
STP02-CHI,0,0,0,0,0,0
STP02-ARA,0,0,0,0,0,0
STP02-ESP,0,0,0,0,0,0
STP02-ALL,0,0,0,0,0,0
STP02-EPS,0,0,0,0,0,0
STP02-COMM,0,0,0,0,0,0
STP02-ANGL,0,0,0,0,0,0
FIRE,0,0,0,0,0,0
GPM09-MIMA,0,0,0,0,0,0
GPM08-STA4,0,0,0,0,0,0
GPM08-CONF,0,0,0,0,0,0
GPM08-LAB RI - LabVIEW Fondamental 2,0,0,0,0,0,0
GPM08-LAB,0,0,0,0,0,0
GPM08-PSM,0,0,0,0,0,0
GPM08-TPPED RI,0,0,0,0,0,0
GPM08-TPPED,0,0,0,0,0,0
GPM08-POM,0,0,0,0,0,0
GPM08-TPSB2,0,0,0,0,0,0
GPM08-TCSI,0,0,0,0,0,0
GPM08-TPMA,0,0,0,0,0,0
GPM08-TCM,0,0,0,0,0,0
GPM08-DIFF,0,0,0,0,0,0
HUM05-RISQ-ISP,0,0,0,0,0,0
HUM05-PSH-ISP,0,0,0,0,0,0
HUM05-CHI-ISP,0,0,0,0,0,0
HUM05-RUS-ISP,0,0,0,0,0,0
HUM05-JAP-ISP,0,0,0,0,0,0
HUM05-ESP-ISP,0,0,0,0,0,0
HUM05-ALL-ISP,0,0,0,0,0,0
HUM05-ANGL-ISP,0,0,0,0,0,0
DET05-PROLOG,0,0,0,0,0,0
DET05-MATP,0,0,0,0,0,0
DET05-PROBA,0,0,0,0,0,0
EII07-ELE,0,0,0,0,0,0
EII07-INVR-EB,0,0,0,0,0,0
EII07-TSAN,0,0,0,0,0,0
STP02-THERMO,0,0,0,0,0,0
STP02-CHIM,0,0,0,0,0,0
STP02-PHYS,0,0,0,0,0,0
STP02-ELEC,0,0,0,0,0,0
STP02-MECA,0,0,0,0,0,0
STP02-OMSP,0,0,0,0,0,0
STP02-ANAL,0,0,0,0,0,0
STP02-INFO,0,0,0,0,0,0
STP02-ALG,0,0,0,0,0,0
HUMF2-ES,0,0,0,0,0,0
HUMF2-LUM,0,0,0,0,0,0
HUMF2-AP,0,0,0,0,0,0
LV3 - Soutien Anglais 1,0,0,0,0,0,0
GPM07-CONF,0,0,0,0,0,0
GPM07-PLAN,0,0,0,0,0,0
GPM07-MOD,0,0,0,0,0,0
GPM07-TPPED RI,0,0,0,0,0,0
